ggTo2mu2tau_15,1638.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-15_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM
ggTo2mu2tau_20,2882.0,121000,121000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-20_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM
ggTo2mu2tau_25,4382.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-25_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM
ggTo2mu2tau_30,6058.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-30_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM
ggTo2mu2tau_35,7804.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-35_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM
ggTo2mu2tau_40,9452.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-40_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM
ggTo2mu2tau_45,10830.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-45_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM
ggTo2mu2tau_50,11550.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-50_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM
ggTo2mu2tau_55,11070.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-55_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM
ggTo2mu2tau_60,7780.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-60_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1/NANOAODSIM

